group_a,group_b,n_group_a,n_group_b,overlap_n,overlap_fraction_of_smaller_group,delta_macro_f1_group_a,delta_macro_f1_group_b,delta_difference_group_a_minus_group_b,delta_difference_bootstrap_mean,delta_difference_ci_lower,delta_difference_ci_upper,p_value_two_sided_bootstrap,bootstrap_valid_n,p_value_fdr_bh,significant_fdr_0_05,ci_excludes_zero
African,Islam,306,233,14,0.060085836909871244,0.0009821518265799023,0.04151348386263409,-0.04053133203605419,-0.0438296109658597,-0.11118973059799456,0.019780819740845664,0.188,1000,0.735,False,False
African,Jewish,306,201,34,0.1691542288557214,0.0009821518265799023,0.03802056245157959,-0.037038410624999685,-0.039381349199458356,-0.13513005345328388,0.04222917589927478,0.378,1000,0.9385714285714286,False,False
African,Gay,306,192,19,0.09895833333333333,0.0009821518265799023,0.020303368485532935,-0.019321216658953033,-0.022235466669942642,-0.07809563470749353,0.04018910383782308,0.472,1000,0.9536637931034483,False,False
African,Women,306,163,29,0.17791411042944785,0.0009821518265799023,0.0348282662593461,-0.033846114432766194,-0.03687349881536676,-0.0951718196830256,0.020539698440736474,0.196,1000,0.735,False,False
African,Refugee,306,76,2,0.02631578947368421,0.0009821518265799023,0.04660739261926872,-0.045625240792688815,-0.04964790595891306,-0.13653592973164602,0.028486330333090767,0.226,1000,0.7823076923076923,False,False
African,Arab,306,84,16,0.19047619047619047,0.0009821518265799023,-0.07507341127813572,0.07605556310471562,0.07292820716648805,-0.05672203774668989,0.24611708481809014,0.332,1000,0.9385714285714286,False,False
African,Caucasian,306,53,8,0.1509433962264151,0.0009821518265799023,0.04353816510679248,-0.04255601328021258,-0.04558503713886514,-0.16407130552781693,0.06150955994482649,0.438,1000,0.9385714285714286,False,False
African,Hispanic,306,38,12,0.3157894736842105,0.0009821518265799023,0.0,0.0009821518265799023,-0.0012837040107530338,-0.0473373061838287,0.042965869969902724,0.9490445859872612,942,0.988,False,False
African,Asian,306,42,5,0.11904761904761904,0.0009821518265799023,0.02726717726717731,-0.02628502544059741,-0.02758139462876889,-0.10270951485619148,0.035166788198904536,0.42842639593908627,985,0.9385714285714286,False,False
Islam,Jewish,233,201,12,0.05970149253731343,0.04151348386263409,0.03802056245157959,0.003492921411054506,0.004448261766401337,-0.09581741351870546,0.0890849211559844,0.892,1000,0.988,False,False
Islam,Gay,233,192,5,0.026041666666666668,0.04151348386263409,0.020303368485532935,0.021210115377101157,0.021594144295917054,-0.0439330981402672,0.08617375475158823,0.506,1000,0.9536637931034483,False,False
Islam,Women,233,163,8,0.049079754601226995,0.04151348386263409,0.0348282662593461,0.006685217603287996,0.006956112150492935,-0.05021076849674385,0.06693263798566074,0.824,1000,0.988,False,False
