group,model,n,accuracy,macro_f1,macro_f1_diff_pca_minus_bert,delta_macro_f1_observed,delta_macro_f1_bootstrap_mean,delta_macro_f1_ci_lower,delta_macro_f1_ci_upper,delta_macro_f1_bootstrap_valid_n
African,BERT Head,306,0.8006535947712419,0.6500346953746109,0.0009821518265799023,0.0009821518265799023,-0.001363313621304905,-0.04741816593127471,0.04293986455111074,1000
African,PCA + LogReg,306,0.8006535947712419,0.6510168472011908,0.0009821518265799023,0.0009821518265799023,-0.001363313621304905,-0.04741816593127471,0.04293986455111074,1000
Islam,BERT Head,233,0.6909871244635193,0.6538682476943346,0.04151348386263409,0.04151348386263409,0.04246629734455479,-0.004519779948017016,0.08924666472258004,1000
Islam,PCA + LogReg,233,0.7339055793991416,0.6953817315569687,0.04151348386263409,0.04151348386263409,0.04246629734455479,-0.004519779948017016,0.08924666472258004,1000
Jewish,BERT Head,201,0.7910447761194029,0.5423039972946593,0.03802056245157959,0.03802056245157959,0.038018035578153454,-0.029628086723231833,0.12310262016115352,1000
Jewish,PCA + LogReg,201,0.8208955223880597,0.5803245597462389,0.03802056245157959,0.03802056245157959,0.038018035578153454,-0.029628086723231833,0.12310262016115352,1000
Gay,BERT Head,192,0.640625,0.6407416351391236,0.020303368485532935,0.020303368485532935,0.02087215304863774,-0.026510316146047635,0.06417252066593745,1000
Gay,PCA + LogReg,192,0.6666666666666666,0.6610450036246566,0.020303368485532935,0.020303368485532935,0.02087215304863774,-0.026510316146047635,0.06417252066593745,1000
Women,BERT Head,163,0.6932515337423313,0.6737352737352738,0.0348282662593461,0.0348282662593461,0.035510185194061857,-0.0008544897095142693,0.07733700046233795,1000
Women,PCA + LogReg,163,0.7361963190184049,0.7085635399946199,0.0348282662593461,0.0348282662593461,0.035510185194061857,-0.0008544897095142693,0.07733700046233795,1000
Refugee,BERT Head,76,0.5921052631578947,0.5864875864875865,0.04660739261926872,0.04660739261926872,0.04828459233760816,-0.019374261000041505,0.1312311727654224,1000
Refugee,PCA + LogReg,76,0.618421052631579,0.6330949791068552,0.04660739261926872,0.04660739261926872,0.04828459233760816,-0.019374261000041505,0.1312311727654224,1000
Arab,BERT Head,84,0.8333333333333334,0.6446868686868688,-0.07507341127813572,-0.07507341127813572,-0.07429152078779296,-0.24336508883261582,0.046943590335393325,1000
Arab,PCA + LogReg,84,0.8095238095238095,0.569613457408733,-0.07507341127813572,-0.07507341127813572,-0.07429152078779296,-0.24336508883261582,0.046943590335393325,1000
Caucasian,BERT Head,53,0.5471698113207547,0.4755820755820756,0.04353816510679248,0.04353816510679248,0.044221723517560235,-0.053882946340929536,0.15699470706041554,1000
Caucasian,PCA + LogReg,53,0.5471698113207547,0.5191202406888681,0.04353816510679248,0.04353816510679248,0.044221723517560235,-0.053882946340929536,0.15699470706041554,1000
Hispanic,BERT Head,38,0.9210526315789473,0.9055330634278002,0.0,0.0,0.0,0.0,0.0,942
Hispanic,PCA + LogReg,38,0.9210526315789473,0.9055330634278002,0.0,0.0,0.0,0.0,0.0,942
Asian,BERT Head,42,0.6190476190476191,0.5969696969696969,0.02726717726717731,0.02726717726717731,0.0261838749240428,-0.005621946491511709,0.08929459214220058,985
Asian,PCA + LogReg,42,0.6428571428571429,0.6242368742368742,0.02726717726717731,0.02726717726717731,0.0261838749240428,-0.005621946491511709,0.08929459214220058,985
